question-id,full_item,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18,Field 19,Field 20,Field 21,Field 22,Field 23,Field 24,Field 25,Field 26,Field 27,Field 28,Field 29,Field 30,Field 31,Field 32,Field 33,Field 34,Field 35,Field 36,Field 37,Field 38,Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Field 51,Field 52,Field 53,Field 54,Field 55,Field 56,Field 57,Field 58,Field 59,Field 60,Field 61
R1,Test the quality of parts before shipment,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,5.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,5.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0
R2,Lay brick or tile,3.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0
R3,Work on an offshore oil-drilling rig,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
R4,Assemble electronic parts,3.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0
R5,Operate a grinding machine in a factory,4.0,4.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
R6,Fix a broken faucet,2.0,4.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0
R7,Assemble products in a factory,4.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0
I1,Study the structure of the human body,4.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,5.0,1.0,3.0,1.0,4.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0
I2,Study animal behavior,3.0,5.0,2.0,4.0,1.0,4.0,5.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,5.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,4.0
I4,Develop a new medical treatment or procedure,2.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,3.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,4.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0
I5,Conduct biological research,4.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0
I6,Study whales and other types of marine life,2.0,2.0,1.0,4.0,1.0,4.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,3.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,5.0,3.0,5.0,4.0
I7,Work in a biology lab,4.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0
I8,Make a map of the bottom of an ocean,4.0,2.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0
A1,Conduct a musical choir,4.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0
A2,Direct a play,3.0,4.0,4.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0
A3,Design artwork for magazines,4.0,5.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,3.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,4.0,5.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,2.0,5.0,1.0,5.0,5.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,5.0,1.0
A4,Write a song,2.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,3.0,4.0,2.0,1.0,4.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,5.0,1.0
A5,Write books or plays,4.0,2.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,4.0,1.0,1.0,5.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,2.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0
A6,Play a musical instrument,3.0,5.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,1.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,1.0
A7,Perform stunts for a movie or television show,3.0,1.0,1.0,2.0,5.0,3.0,5.0,4.0,1.0,1.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,2.0,5.0,1.0,1.0,5.0,2.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,4.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0
A8,Design sets for plays,4.0,4.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,3.0,2.0,4.0,4.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0
S1,Give career guidance to people,4.0,4.0,2.0,4.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0
S2,Do volunteer work at a non-profit organization,3.0,5.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0
S3,Help people who have problems with drugs or alcohol,4.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0
S4,Teach an individual an exercise routine,2.0,5.0,3.0,1.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,4.0,1.0,4.0,4.0,3.0,5.0,3.0
S5,Help people with family-related problems,3.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,5.0,3.0,2.0,4.0,3.0,5.0,5.0
S6,Supervise the activities of children at a camp,4.0,1.0,2.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,1.0,5.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0
S7,Teach children how to read,3.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,1.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0
S8,Help elderly people with their daily activities,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,1.0,4.0,2.0,5.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0,3.0
E1,Sell restaurant franchises to individuals,4.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0
E2,Sell merchandise at a department store,3.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0
E4,Operate a beauty salon or barber shop,3.0,1.0,1.0,3.0,1.0,5.0,3.0,2.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0
E5,Manage a department within a large company,2.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0
E7,Sell houses,3.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0
E8,Run a toy store,4.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,4.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,2.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0
C2,Inventory supplies using a hand-held computer,2.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,2.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0
C3,Use a computer program to generate customer bills,3.0,5.0,2.0,3.0,5.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,2.0,4.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,5.0,1.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0
C4,Maintain employee records,4.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0
C5,Compute and record statistical and other numerical data,2.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,1.0,3.0,1.0,2.0,5.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0
C6,Operate a calculator,4.0,5.0,1.0,4.0,5.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0
C7,Handle customers' bank transactions,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,5.0,2.0,3.0,3.0,5.0,3.0,5.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0
C8,Keep shipping and receiving records,4.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0,5.0,3.0,2.0,5.0,1.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0
