,Correlation,p-value,L1 Loss
6e32e84f30a610383a87e420c1db36fd,0.42,0.0,0.78
36744580dc4b466380e15ac4346588ea,0.26,0.009,0.79
bf32d8c778340c951d27491d6b399a50,0.438,0.0,0.95
2f3131ebffcd0291d2b8ab00f00d8751,0.638,0.0,0.75
cd3dd88973c4f5486753bca66ec4a19b,0.137,0.174,1.08
e8a6b41ac5f265893022d295dc95eb30,0.558,0.0,0.91
03be51930e496332510f8c7b6e50f73c,0.59,0.0,0.78
8734afabc21ea931222e5a0bb65afd4e,0.186,0.064,0.83
802df8fd123e79c81d1278966def0ad5,0.467,0.0,0.87
c6528b576cedece24e3ae87f5d51e50a,0.368,0.0,0.94
0f2134989304c4de7d02882e2705ac0d,0.614,0.0,1.09
8abed8b71b898434fd96d9a401c11b81,0.505,0.0,1.04
b714ac8313938c0807171aa85675ff92,0.266,0.008,0.97
6689d6569984c1d130057441fb4fde1c,0.403,0.0,0.74
64d3459a74bef9be1d1d5286cd97d0d5,0.391,0.0,0.99
88a5fe5ff5568b53c7326ef2104ece4c,0.48,0.0,0.73
cb7484cf0520e98781cb8820dbc21861,0.388,0.0,1.09
69af3c63bc59e5cfe37c46d71f56c045,0.495,0.0,0.95
6894f37ecfa97a7dad5cbacfe96b351c,0.482,0.0,0.76
8c391e736bd8a17a17caeb4476f36664,0.209,0.037,1.05
429e490978f15309bd04aaa6783b9fe4,0.407,0.0,1.05
b374866457376c9bed358be0c9ec5cee,0.663,0.0,0.78
62f1ed23e62c008956543989d58eab5f,0.522,0.0,0.98
cd2c8ace5ecbfbf135d3a9a58546550c,0.33,0.001,1.05
7677a3ff1115438f2c90e9ef88ce8d4a,-0.072,0.475,0.92
c68df7b7e5c64c7378f07c7426c4c41c,0.268,0.007,1.02
9c72430d7d28b24f4e0c9d3585df9ae5,0.64,0.0,0.92
67bcea0b22fe3734c90e32021591fb76,0.32,0.001,1.21
79b700cb695d1c9850c8c1a50b5d461d,0.415,0.0,1.06
fe45daf9870f2127fe08bdd4b694cbc4,0.487,0.0,0.95
5416a1ee9ade334a8e38b08d08f04b2a,0.438,0.0,1.16
a8769b5f9568b9e30e028b87db0b9ff6,0.105,0.3,1.09
c5645ff41adf2f320a48870650fd7a59,0.033,0.741,1.08
44ff53d01d03cc8eb2b56557ebce89d9,0.399,0.0,0.95
3e438e5eb77e8b0d537e0c4f493f432d,0.57,0.0,0.94
7f42f0e1b15986b44eff2ab25e6cd6e5,0.635,0.0,0.95
1d36a4e6ea452a1c01e8a9836e5e70e0,0.371,0.0,0.91
6c8d624a849ea1c23f3fad54e7e009c6,-0.06,0.554,1.2
63c444475e7c3ebb4a93d1eef21ff0b9,0.61,0.0,0.78
7947174a58db9bce604939170a8c12ba,0.381,0.0,0.91
209426aae7cd4666709a1fa186bdaaf8,0.647,0.0,0.92
ea56c76f985c78ab04273b863a05b6e0,0.241,0.015,0.99
14c9c383f274c66db1d76b7a992ccdd3,0.514,0.0,0.73
a35d8f07c834ac1463aab25592293c89,0.444,0.0,1.01
bc5368ed7b061b6706680e7f1744f340,0.487,0.0,0.91
a4d19cc8aa95e03a10f5af088d19b4c1,0.51,0.0,0.81
2bc4b186d7335658dca9090f11793b2f,0.267,0.007,0.89
de6982d369c8cadd09841f06668cd9b9,0.527,0.0,0.85
66d32587da8d5c5015c5b1d40e864129,0.676,0.0,0.79
2df74d6695cbbf0f50df37cba214261c,0.409,0.0,1.32
06f6a77f628988f31967b6a1a7ba4ca8,0.252,0.011,1.17
90ee49ceb0ab25e8cec36476dd141fae,0.136,0.178,0.95
fa988db68db5e7fb4fb30f6a5d6aa421,0.437,0.0,0.9
d4fd69e07969397ee392ac738e0129f8,0.681,0.0,0.76
2c10acc10ffff572aa1657a71972ad16,0.326,0.001,1.02
5f511f39aaa42be42ed036f3f12f38f6,0.528,0.0,0.78
9a163d6ec65068aab6c1fae4d8e24e4a,0.428,0.0,1.03
f72aa0c0cf3a18ea8ae9c620ec7f02b6,0.487,0.0,0.97
fb741cf11b677ce8207335474df5896c,0.289,0.004,1.18
fc961871a639ea2b0034f0463cd413ce,0.456,0.0,0.98
57fe89bfcebbb75fef02aeec43a35a94,0.454,0.0,0.88
276d6a094a502267bf268e442c774554,0.31,0.002,0.98
1d66391055a50f772cf657fafd447874,0.508,0.0,0.61
1eaa9bbb6885898e2da9e175da3d1dd2,0.416,0.0,0.96
e5314baacba9e0ec92022fdf3442d3d4,0.578,0.0,0.86
cac830129ac5cbcbdedcac0cdbd8a926,0.489,0.0,1.14
6521bf61e53307568261da632edf7847,0.399,0.0,1.12
67cd070055b4564317489b0d5efaeb70,0.557,0.0,0.77
f877a64d9094c377db38445aad8d9c98,0.566,0.0,0.55
babf2ab95c7731332c132782f6057965,0.254,0.011,0.98
c13302864f8ff5e6744ad34c2923c846,0.37,0.0,0.92
9b49175119670b578d146a4ff5099371,0.64,0.0,0.71
4f3f6c7e12c918c10190234cd2980568,0.477,0.0,0.94
2069c0f169af2eb5ca4fc9fd3c869b0a,0.34,0.001,0.77
35ae07643eb108f474378954b8974009,0.534,0.0,0.72
b73b39b6909922c9655fa98738d96562,0.563,0.0,0.68
4dd639f43bfe3d9e5905630dd73e9ef3,0.438,0.0,0.73
1e2c20c2af832eea6b84af02ae199394,0.384,0.0,0.99
8289e73813ccd509e30a6c39eae38178,0.472,0.0,0.81
7d870abd83df9919b6e2ca12e6487d95,0.398,0.0,0.88
a8601c04ff6cdf1dcba1bc123d1b7fe7,0.541,0.0,0.78
61193757e2e41e3716892c13f2e86249,0.307,0.002,0.82
b77fa2c4bccf28a95b0a617f8f484d77,0.538,0.0,0.93
6a48da52024f055e656ba50940378a02,0.512,0.0,0.86
ca49a43604e12dfcf300af948277a90c,0.5,0.0,1.04
cfb253a481c9d1050f553840c5173bff,0.398,0.0,0.9
ca24e332131e749875d6366460400a73,0.523,0.0,0.96
d0a83309675f081f10aef48a054e6c69,0.195,0.052,0.96
b89502f9522b62cdfa4bf2a59f3d7a59,0.121,0.231,0.88
bf7fbb98cbd28bb1b8cc452290138f80,0.428,0.0,0.83
cf95ec89d9a2ddf078720702f32d1fac,0.183,0.069,1.0
f9057d34639f0f64e71cb88149f5e2d3,0.599,0.0,0.82
f5facd653ff8ec0cda0b4ba4cbd7cbf2,0.576,0.0,0.67
7b447e8d8a77197671de3fdb92c5e444,0.514,0.0,1.01
82d1d265007eba2fa4f6928562758b81,0.639,0.0,0.8
dd19c59945214c0384438af69b22439e,0.74,0.0,0.59
13a021c91a9ea59b8420fef945bb1405,0.436,0.0,1.0
dcd21edd2f075c160b64535497d98ee6,0.245,0.014,1.08
0ce21d61ce0f59100b0163951f22a704,0.451,0.0,0.78
b3f945f508e26b5341d4b5fea1c537c2,0.61,0.0,0.88
a67eaa89607fe3b79b5d348f1e5f273f,0.391,0.0,1.0
46eed1c6f1d84c1c61ad5527568cd6b8,0.339,0.001,0.52
447e4c98720e722e1d594510350dafc1,0.51,0.0,0.94
1e9abaf55323c8ef7253a524b6f8860c,0.585,0.0,0.6
a02f615530c7fec8584067f0a7fa9307,0.392,0.0,0.96
6725cb3adb637ddce4f85699f4611488,0.197,0.05,1.1
d616bc7c1c2a922ef3aca5ab6c2716df,0.653,0.0,0.73
19d167011f388a5c98b2a68eef777fa3,0.739,0.0,0.75
222aa767d24ddc7a0cd4efba467f261b,0.528,0.0,0.87
f10837921363c1a483f7bb8b11bbc9d0,0.528,0.0,0.86
814057409aee5ff320e7aff05390371d,0.548,0.0,0.69
c7f679505fcd0ead4c5fd3300e3b2c99,0.623,0.0,0.97
a530d12069a30bb943813760bd68c314,0.316,0.001,1.18
2db48d8193daba49a6c6879251beaf54,0.166,0.099,0.87
4b4182e4f7de2d00bc0803504287de20,0.515,0.0,0.58
709e858128f8477f2575ad745c3570d5,0.421,0.0,0.96
c71215898d5942b0c279220187389b05,0.74,0.0,0.85
1f7b4cc364f83969d139ae80b4b69fe4,0.435,0.0,1.2
6a8a36636537d9a3b90f9a02989c7f09,0.431,0.0,0.87
e1abfdf0761ea4a096ae4c9d6373d2c3,0.567,0.0,1.0
978b6954929e8ac7d8f349651fe53556,0.313,0.002,0.72
cd8420ea35641c0f40c9355062ca4139,0.323,0.001,0.94
27888d9213314d8feeacd3f96316efcd,0.34,0.001,0.95
7b7fd7625f238f22e07d8bb1ac9716ab,0.581,0.0,0.76
2beb31a1e7ef5c322afc17476cfc6db9,0.649,0.0,0.78
95c50e3d53218a77edeac4b46764efbb,0.47,0.0,0.95
94dcb8f5eda6cf7b743472bb4b753245,0.187,0.062,0.81
fe763a97df7287339c097b6e5fb9a343,0.229,0.022,1.28
7326a786a48cc39675cda913e11d87be,0.296,0.003,0.86
05e692c5fa868db5396fdd604ac62a51,0.407,0.0,0.57
5f1d510004d0f50e7c81be19c6a30109,0.453,0.0,0.88
4984ef78c3c30c9af944afe7673b0b5c,0.216,0.031,0.88
d7d01e9cbf97e6700f40d5bbe9bc4240,0.305,0.002,0.64
2299e495028c6dc2aa3b25c4afaa6ba8,0.52,0.0,0.81
d85a3464fa8bfc9af2f44272f52c6713,0.493,0.0,0.84
093d1b4893c40fca2a392179f11b6242,0.507,0.0,0.76
b182d4c46745e9de8ee7fc9d6abf7e4b,0.43,0.0,0.74
514d55e019042c24e3cc2d4863bcda77,0.302,0.002,1.23
cb874ea7bc63a363ac35454cefe2d3fd,0.609,0.0,0.91
2d5d5d672d5be65b1a7f58f8084d6082,0.371,0.0,0.81
2b48b8a9efb00f037e64aa69b4ad368d,0.482,0.0,1.25
71fc321e42009a617a91338faf7ccab0,0.381,0.0,0.8
c789d8498207064b9b3adfde179b0af9,0.466,0.0,0.96
cd92ec2817d7eb648800bdc270f16770,0.322,0.001,0.9
68bcaf00501352d2f60633e607250763,0.237,0.017,0.79
d13b584b1c8ae0b4c5919d5a3994ee93,0.392,0.0,1.04
542e04df071170c57db021a439805863,0.564,0.0,0.77
8c5692b2ecbd1f3f3078a70a8ea0f9dc,0.589,0.0,0.95
87ce9a86c48afc8a951510012eb76e28,0.35,0.0,1.21
597f73a436bc98f32fdbf7b413706064,0.657,0.0,0.85
f2100e58ba325e6442609fcee08a56a8,0.527,0.0,0.9
8059652baa646850af9c73154b9c0e92,-0.077,0.447,1.11
128e461f1e8589d0542f6f03d3f357ba,0.336,0.001,1.07
28137aa2114b557f5ed4ab0a02880b38,0.461,0.0,0.78
426042a5988fc24b7dd36c3ed7d38add,0.198,0.049,0.98
78c7a922328cb48285097cea8d83978e,0.493,0.0,0.71
2895df3ba88873bc664bcc8c1fee8fa1,0.426,0.0,0.91
3fdf7fb92981e1f2fc27fdd8cbd55ced,0.587,0.0,0.83
c4cb94489ff34beaddc51e17c01e309a,0.612,0.0,0.91
0634441c830c7424355dcd0f8ffa9ad2,0.435,0.0,0.87
62842de43985b698f5d9cac33ed78b8d,0.463,0.0,0.81
a909a0b62df9ff2a37bf280550d8ad86,0.61,0.0,0.92
ae043bf8d11898cb8dc7615055c77b39,0.483,0.0,0.79
77549e19f88acb87020fa05024de16f7,0.361,0.0,0.82
7a39af19a97210aceafee69b9bb17751,0.425,0.0,1.02
eacdc3862ee3887489ed7618f542574a,0.425,0.0,0.86
cf31320292a2359cfa5d98bf38be5d01,0.466,0.0,0.74
606be373347fb014dece6b34854614da,0.426,0.0,1.06
aae89e4762395dc64184e5ac6cce2c54,0.463,0.0,1.09
7c01fcf474b9062261b77b19f0daa067,0.382,0.0,1.24
8ff6192bbbb717c36097b33e244d91de,0.281,0.005,1.13
42fc56f7f8a95bdae506145b0e28f79c,0.518,0.0,1.11
7127f701bdbe1fad25063c8d30696a9b,0.653,0.0,0.98
ad26a5e4f7e22ab5cb94e67f53e0ce64,0.34,0.001,0.91
60553c38a0984537ee0b6c9727b67a9e,0.627,0.0,0.72
2664375fba53215e0c876272ef7efc46,0.655,0.0,0.81
5952271f836c401b68429a537fa10b60,0.529,0.0,0.85
3d6b795dc61492d57e7fbf065dad3f67,0.569,0.0,0.86
2e2ae573f72dc1bc55697110b73fa9fc,0.433,0.0,0.92
5dc34ebd8aa80bf95fa93881a332ed5a,0.495,0.0,0.83
39bc341bfaee8911ed7bbb7e84af0e0e,0.482,0.0,0.68
61cfcb0b2d188ba6b36ab20b8835019a,0.191,0.057,0.92
fb18f0872e3b1c4b1295abd755f49a94,0.439,0.0,1.0
f7f9a2f23d81c3ef6c14b3edb0b9d6e7,0.596,0.0,0.68
67f1bddbdb60c7f4a82c9ae9e88d4e28,0.375,0.0,0.95
f7acafa4fdd40e4aa7134fbf611203f2,0.559,0.0,1.04
e173b1dd17034a46fd046437e70304c0,0.771,0.0,0.75
1c7ea4a69decf3156a2d496d33ceb1f3,0.318,0.001,0.85
b326f874513688e9cbf0d2f9636b5be1,0.424,0.0,1.02
b9a44bb356832160caccc9eb3614e0ce,0.515,0.0,0.96
7d1b58bed445a48299c8a3c7c2df38bb,0.626,0.0,0.84
77d276e44e4ee62c94e2f237531b3730,0.368,0.0,0.87
ed412a19fef34fc7e85be58f0c3f2cc4,0.255,0.01,1.06
0a6b227d346e216c186a0b5520941eb0,0.454,0.0,0.8
b4a21c82de4011033c8ac67081ff939c,0.531,0.0,0.91
6c63607b9c2306a0a2ffb752db31eaa8,0.53,0.0,1.02
b76fa5fcca4d6ae77eeee584318f0c87,0.405,0.0,0.81
2a9803801897e4b5a246d3db805d6d3f,0.366,0.0,0.95
a30a4a6e6868a2be2be8c7cc3e364e3c,0.501,0.0,0.99
5676f0a7fe3d08d369a4147e1c17f40d,0.438,0.0,1.02
539f283b9de28d92d3f97a5873c55014,0.375,0.0,0.94
e6bddeeef000dad8f8b97ab4375b2bf8,0.501,0.0,0.93
53c14712e1e30e64bb7b2b651d0b1750,0.256,0.01,1.05
456aecccc2c1a1fd00f05daafc4afcce,0.425,0.0,0.97
676b04051e8e7e5a440a5cac4f5fb27c,0.397,0.0,1.1
623a951f38cddbac4cda3aee78cd00b2,0.715,0.0,0.85
23d8a242790422740759c87bb79d3976,0.333,0.001,0.84
0daf43c6f08a0a2d9e5ba82ac4fd5b7b,0.376,0.0,0.97
0f9c970a4d666e9c2334366be7d2f4a0,0.211,0.035,1.12
1be4d69f1b769cfe8ce13e01d1aeac40,0.288,0.004,1.1
24f73702cc0151cd610f424ae1f7185b,0.424,0.0,0.88
b015594815495b12c3d0904584336026,0.482,0.0,0.68
3a21874446382e402adf27ddb522d6b5,0.445,0.0,0.6
fbb9472a95636598aab9ae1eb015cc89,0.573,0.0,0.95
090dd511c63a028cbd1ae9f297619354,0.427,0.0,0.88
f61d9fa4e2da6a4b79399496864c45d0,0.518,0.0,0.98
c3365eac62aafbf413a21c8247f90375,0.283,0.004,1.29
74a4ec10660a79e01236d82ede9d0418,0.619,0.0,0.71
7cd97c61b082258f4bc51fc459060830,0.487,0.0,0.76
f3dda0aa282598a1f19e93f8fafa96d1,0.255,0.01,0.81
fc2a5132feb2519d869af08e5bf130fb,0.415,0.0,0.92
be9590555cbbed73dcfc4e819767be37,0.707,0.0,0.85
ac4e837ca6f62f9ac9f1567c5613b52d,0.706,0.0,0.88
994e8b2d76c6fdb6ecbcc393bbb871d9,0.556,0.0,0.77
74335b58efd72dad3c68f77479e5c66d,0.614,0.0,0.82
9d8d7fc075620a0237575b79f23a94ab,0.289,0.004,0.85
28b0d8bd301c23701ce9c43b8acfd044,0.487,0.0,0.92
0efba48dbf174b3415146a544a266434,0.313,0.002,1.3
ea9d5e3f8f847e68c2d0718ba1bc3e36,0.01,0.922,0.89
f0efc9018fabdc96e8ba618ad2c3919c,0.664,0.0,0.6
956adad333c5035ba51f246ed5cea99c,0.429,0.0,0.85
cee8e157f160000ceeee731d133b5d08,0.337,0.001,1.06
a16a56a6eb20a1c0f28e92957782f01a,0.699,0.0,0.79
235563c7c0b42864b772c2f541d704cf,0.766,0.0,0.74
25b498cf24d21ba39a34bac76fc9f562,0.464,0.0,0.94
c1e1a08c25f067d6f7d9273ee26f985d,0.367,0.0,1.03
8eafaac85820f80ab1bdb8904d9c216a,0.658,0.0,0.7
d843eae1481d17d21e74aaed15169363,0.7,0.0,0.76
9be501c46d5f0c57bd272d182e4f5549,0.359,0.0,1.07
5f2fa66bd69d9707f5e64a222ac638d9,0.671,0.0,0.75
890980a41458ab170cd39f0911dc19d1,0.207,0.039,0.97
ff8629b5470c6285bc1a6540f0cc0ec6,0.327,0.001,1.0
7081df99c31575377640ef9040e52bc5,0.421,0.0,1.09
0786855c7d247776f046b4414b875a5e,0.623,0.0,0.82
9e0fc047e2279df7d86e1d465bef9115,0.366,0.0,0.69
70e9e8ac0e712e0f5855f137d127c072,0.432,0.0,1.18
d49197c4a122c18b4bea3773c069f0f4,0.731,0.0,0.79
8d04efb8575f322e61d6369bdf2cdfa6,0.493,0.0,0.63
1df34ab100f64775989d4a9f55d82f35,0.143,0.155,1.03
b5b8066c4c91704ded8bce494d4e0630,0.385,0.0,0.74
02fc0b5bb0b0532c2b6c6571215de6d1,0.487,0.0,1.21
63eff09501323ff092779117f17c914a,0.319,0.001,1.0
476212aad9d39739ab6c28910d9bfbcd,0.587,0.0,0.87
8c8244dc5ad89d38e4b0c4b7a1651cc6,0.075,0.46,0.82
c544ee15861d965fb00f4e9c481b05e2,0.538,0.0,0.67
6191b5a1e6b39325ed598ba6c02e7f37,0.377,0.0,1.13
0b589f78ca728dba2b4d24806275f6c5,0.542,0.0,0.93
2ae7c3a98b51bbbda7dad16747b3c848,0.34,0.001,0.85
32ed6399a484902c30e5a9e5cee7941d,0.433,0.0,0.97
ebf61e5bd93873f7a73b985589fe5633,0.447,0.0,1.06
e42029204a2cb10c3c0da2723fd1e004,0.383,0.0,0.93
dc19576f43fd355f1201feafc29d175a,0.528,0.0,1.13
92f43099f73ec97c1df40dea22d32250,0.534,0.0,0.9
c6faf42a7b7e174b7719eab1662a9dcf,0.516,0.0,0.75
b7eeffe19e125928ec2128adb136a2e3,0.323,0.001,0.74
52054d7c52b4fdf713fe0188e3269f12,0.062,0.537,0.81
b572a9bdb35ed1ebdaf001dcebe3bf4d,0.487,0.0,0.92
27a92df10fe901b00d633e3e83c8c4de,0.55,0.0,0.87
6f42345741ecbfb5364bbc3aa015de64,0.515,0.0,0.97
0b03d53640a8675b8f68c6700d79909f,0.311,0.002,0.93
2ca897db95ccad15bbecdaef7870c245,0.462,0.0,0.7
2c70380bf5da87f192d30b4e5dbed08d,0.513,0.0,0.82
87182b27b1f3a63f822c49ad014e7709,0.549,0.0,0.84
effacd4b8bd3060a993e09ee9f90f7e6,0.174,0.083,1.09
f031ed65d8f8197dcf28d4238f4d0649,0.417,0.0,0.94
56f5bfcb653f44297df7777a48a4a4b3,0.665,0.0,0.97
f7697dde79be760d858d497acc72d857,0.455,0.0,1.11
ab5ef1673d504433a59371557c661f6d,0.413,0.0,0.88
38088d475ea168360b2c87c06c26a2b1,0.355,0.0,0.84
df8ea635034a387157a5c5c1bc2f9bcc,0.475,0.0,1.0
b08971d6d9d5c92d5538b4e02afa23c4,0.477,0.0,0.84
6dcccfacc711a3892bcb739a7a276d50,0.739,0.0,0.73
65e87e90444649250ee932fc7ebc4b43,0.521,0.0,1.21
9c5e4dcacf447e7997b01bf19160a9f7,0.483,0.0,0.81
f4f7ef852a8606f4251986c638109754,0.507,0.0,0.94
6bd1e6d04774fe1413c8fa5b4164acd6,0.481,0.0,0.9
cc870008091209191b7b282b50168593,0.402,0.0,0.77
b801e6a2a2dea79f6445585ae781e99b,0.658,0.0,0.93
8cb26a6a86f28cc58259afe512ce2646,0.381,0.0,0.62
4962ed80ba31d7d355a944d65f196f9f,0.768,0.0,0.66
97aced0d899fce73fdc57d4b5522692f,0.396,0.0,1.05
5d3a476f2844f2e840ac905cc07f8bc2,0.426,0.0,0.71
bedeb3ad0a48ca45d8f9436720a526a6,0.191,0.057,1.01
e81ccc88fa6427fbde97f9e0b9674be8,0.51,0.0,0.68
a887009623a1c957d7a97fa6588558b7,0.401,0.0,0.69
3afb599e3c0f304e7f69122ca0e3c820,0.455,0.0,0.83
77247d880cbcaaf2f69c79674dbe543b,0.337,0.001,0.95
2080fe3a58a912159aa859a26fa1834d,0.377,0.0,0.84
fa06a48557effb32c66ed5eebedce843,0.549,0.0,1.1
15630bb98dbba372ca6abaf902c8acea,0.294,0.003,0.99
d9b7eb8ac6def75cde2b32281ce88b15,0.545,0.0,1.03
cbcb9c7d4142c6e35df51769ccfec527,0.357,0.0,0.79
8107ec9ec8d423907ae6c8123e71f19d,0.55,0.0,0.78
6439cb8a999ef4a79737198b3bd21575,0.465,0.0,0.74
a13ece20d8ae4663c0affb4b19f1cf17,0.157,0.119,1.19
88e02296617fc00cf1a46be513ebcffd,0.472,0.0,0.91
92b40bde382026993b487405030b2312,0.661,0.0,0.79
40f9b37627804de476a10bafb527e08e,0.573,0.0,0.87
e2ed5508a2c38bf09bf2f2ad52b500f1,0.527,0.0,0.89
5945f85d773f5a5d04369319e1b2281d,0.473,0.0,0.95
85340ce580bba54af6b4361df323c497,0.443,0.0,0.69
3592e1351f095c6a038bf446d4287641,0.49,0.0,0.99
331d2f42803e0253ae9ff9d78ea9a6c1,0.037,0.714,0.77
a27de41dc0347df96e30b7066376af8f,0.613,0.0,0.86
06b01f70c8b831df21073cd52a6ff5ad,0.584,0.0,0.79
49fc2528d8c59365ddd383f5fb561511,0.471,0.0,0.68
dd51c7c3220a802aeec0810876cc2e62,0.286,0.004,0.89
b9ed85f6cabcfa29d216334dadad7374,0.498,0.0,0.93
d007a2a659630c7aee89a1184102e493,0.572,0.0,0.92
dba77155ae9d74f6c25f2e67977da55c,0.638,0.0,0.82
aa145b4e23e08e4f7340e1fa57f41332,0.56,0.0,0.99
616bab4a9962d802dcbdccbb628386b0,0.17,0.091,0.95
9dbb00b261716a15f4d65a5cca985ac2,0.399,0.0,0.95
26d1474fe97fbd81041aa95fdc4b92c4,0.402,0.0,1.05
56806b59ac1d1dafb30e4a4c845d21cf,0.326,0.001,1.06
063d77f3528d3feff209505c6e2d0fe9,0.193,0.055,0.91
54f2401fdb3bfcdd488c893f4780a1cf,0.23,0.022,0.8
93ac0f84e8d852711d3ffaf5929397dc,0.633,0.0,0.7
e8b7958a42b6549bc8c07464332028fb,0.221,0.027,1.34
2135e5f178039571741d36dcb62fc952,0.365,0.0,1.12
827bfc507fff049e30387832675c47f4,0.334,0.001,1.16
cb4b45c441f36b033afe212eb7c4c82f,0.493,0.0,1.17
9d5be05bac745f58c64f6eea4a60a4f2,0.589,0.0,0.9
1383127bd39fb67f30f32244d2346e96,0.583,0.0,0.82
0765c56b2da0e50568488dbbbe93751b,0.421,0.0,1.03
abf7d85e7c3ad6ec2005c99b05c2ff8e,0.455,0.0,0.65
ea113c227e7512c9ca71e0c6e1d70481,0.637,0.0,0.85
5dd75ddf8210fc0f0f7ec5171f937ec8,0.539,0.0,0.9
6399577bd617fdb1e2d9d33944f75b70,0.429,0.0,1.05
49009552918489ac47bb079c1722d348,0.649,0.0,0.84
5b8443a30bf38a330881be877d4ac3b3,0.629,0.0,1.01
3ab0cca9484c69d930b256f504a76144,0.653,0.0,0.73
564d08eeaf5f99db2df3e37ea322c540,0.513,0.0,0.77
